locality,Year,house_price
ABBOTSFORD,2019,1030000.00
ABERFELDIE,2019,1390000.00
AINTREE,2019,610000.00
AIREYS INLET,2019,985000.00
AIRPORT WEST,2019,790000.00
ALBANVALE,2019,512000.00
ALBERT PARK,2019,1965000.00
ALBION,2019,675000.00
ALEXANDRA,2019,325500.00
ALFREDTON,2019,480000.00
ALLANSFORD,2019,300000.00
ALPHINGTON,2019,1570000.00
ALTONA,2019,882500.00
ALTONA EAST,2019,842500.00
ALTONA MEADOWS,2019,617500.00
ALTONA NORTH,2019,788500.00
ANGLESEA,2019,905000.00
APOLLO BAY,2019,597500.00
ARARAT,2019,216500.00
ARDEER,2019,571500.00
ARMADALE,2019,2462500.00
ARMSTRONG CREEK,2019,540000.00
ASCOT (GREATER BENDIGO),2019,415500.00
ASCOT VALE,2019,1088500.00
ASHBURTON,2019,1651000.00
ASHWOOD,2019,1100000.00
ASPENDALE,2019,994000.00
ASPENDALE GARDENS,2019,844000.00
ATTWOOD,2019,767500.00
AVENEL,2019,370000.00
AVOCA,2019,219500.00
AVONDALE HEIGHTS,2019,810000.00
AVONSLEIGH,2019,532500.00
BACCHUS MARSH,2019,500000.00
BADGER CREEK,2019,498000.00
BAIRNSDALE,2019,274000.00
BALACLAVA,2019,1310000.00
BALCOMBE,2019,1109000.00
BALLAN,2019,450000.00
BALLARAT CENTRAL,2019,520000.00
BALLARAT EAST,2019,360000.00
BALLARAT NORTH,2019,413500.00
BALNARRING,2019,825000.00
BALNARRING BEACH,2019,1275000.00
BALWYN,2019,2392500.00
BALWYN NORTH,2019,1700000.00
BANNOCKBURN,2019,529000.00
BARANDUDA,2019,395000.00
BARNAWARTHA,2019,316000.00
BARWON HEADS,2019,1007500.00
BAXTER,2019,530000.00
BAYSWATER,2019,715000.00
BAYSWATER NORTH,2019,695000.00
BEACONSFIELD,2019,690000.00
BEACONSFIELD UPPER,2019,787500.00
BEAUFORT,2019,242500.00
BEAUMARIS,2019,1582500.00
BEEAC,2019,195000.00
BEECHWORTH,2019,472000.00
BELGRAVE,2019,636000.00
BELGRAVE HEIGHTS,2019,685000.00
BELGRAVE SOUTH,2019,665500.00
BELL PARK,2019,482000.00
BELL POST HILL,2019,475000.00
BELLBRIDGE,2019,368500.00
BELLFIELD (BANYULE),2019,770000.00
BELMONT,2019,545000.00
BENALLA,2019,290000.00
BENDIGO,2019,420000.00
BENTLEIGH,2019,1382500.00
BENTLEIGH EAST,2019,1200000.00
BERWICK,2019,673500.00
BEULAH,2019,77000.00
BEVERIDGE,2019,610000.00
BIRCHIP,2019,107500.00
BIRREGURRA,2019,463000.00
BITTERN,2019,577500.00
BLACK HILL,2019,495000.00
BLACK ROCK,2019,1777500.00
BLACKBURN,2019,1300000.00
BLACKBURN NORTH,2019,1010000.00
BLACKBURN SOUTH,2019,1038000.00
BLACKWOOD,2019,372500.00
BLAIRGOWRIE,2019,925000.00
BLIND BIGHT,2019,552500.00
BONBEACH,2019,850000.00
BONNIE DOON,2019,420000.00
BONSHAW,2019,389000.00
BOOLARRA,2019,245000.00
BOORT,2019,185000.00
BORONIA,2019,684500.00
BOTANIC RIDGE,2019,700000.00
BOX HILL,2019,1528000.00
BOX HILL NORTH,2019,1200000.00
BOX HILL SOUTH,2019,1154000.00
BRAYBROOK,2019,630000.00
BREAKWATER,2019,405000.00
BRIAGOLONG,2019,315000.00
BRIAR HILL,2019,817000.00
BRIGHT,2019,580000.00
BRIGHTON,2019,2600000.00
BRIGHTON EAST,2019,1700000.00
BROADFORD,2019,417500.00
BROADMEADOWS,2019,526000.00
BROOKFIELD,2019,445000.00
BROOKLYN,2019,672500.00
BROWN HILL,2019,449000.00
BRUNSWICK,2019,1030000.00
BRUNSWICK EAST,2019,995500.00
BRUNSWICK WEST,2019,1061000.00
BRUTHEN,2019,229000.00
BULLEEN,2019,1100000.00
BUNDALONG,2019,515000.00
BUNDOORA,2019,727500.00
BUNINYONG,2019,475000.00
BUNYIP,2019,501000.00
BURNLEY,2019,1188500.00
BURNSIDE,2019,605000.00
BURNSIDE HEIGHTS,2019,591000.00
BURWOOD,2019,1165000.00
BURWOOD EAST,2019,1020000.00
CAIRNLEA,2019,752500.00
CALIFORNIA GULLY,2019,289000.00
CAMBERWELL,2019,2100000.00
CAMPBELLFIELD,2019,534500.00
CAMPBELLS CREEK,2019,500000.00
CAMPERDOWN,2019,280000.00
CANADIAN,2019,377500.00
CANN RIVER,2019,125000.00
CANTERBURY,2019,2832500.00
CAPE PATERSON,2019,540000.00
CAPE SCHANCK,2019,940000.00
CAPEL SOUND,2019,515000.00
CARISBROOK,2019,300000.00
CARLTON,2019,1306000.00
CARLTON NORTH,2019,1555000.00
CARNEGIE,2019,1310000.00
CAROLINE SPRINGS,2019,620000.00
CARRUM,2019,770000.00
CARRUM DOWNS,2019,537500.00
CASTERTON,2019,150000.00
CASTLEMAINE,2019,520000.00
CAULFIELD,2019,1658000.00
CAULFIELD EAST,2019,1372500.00
CAULFIELD NORTH,2019,2100000.00
CAULFIELD SOUTH,2019,1488000.00
CHADSTONE,2019,1000000.00
CHARLEMONT,2019,465000.00
CHARLTON,2019,147000.00
CHELSEA,2019,857500.00
CHELSEA HEIGHTS,2019,750000.00
CHELTENHAM,2019,1035500.00
CHELTENHAM EAST,2019,940000.00
CHELTENHAM NORTH,2019,858000.00
CHEWTON,2019,439500.00
CHILTERN,2019,223500.00
