Country,Regional indicator,Ladderscore,Standard error of ladder score,upperwhisker,lowerwhisker,Logged GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Index_corruption ,corruptionindex_10
Finland,Western Europe,7.81,0.031156305,7.869766235,7.747633934,10.64,0.954,71.901,0.949172199,-0.059482019,0.195444584,19.54
Denmark,Western Europe,7.65,0.033492286,7.711244583,7.579955101,10.77,0.956,72.403,0.951444268,0.066201776,0.168489456,16.85
Switzerland,Western Europe,7.56,0.035014171,7.628527641,7.491271973,10.98,0.943,74.102,0.921336651,0.105911039,0.303728431,30.37
Iceland,Western Europe,7.5,0.059615862,7.621346951,7.387652874,10.77,0.975,73.000,0.948891878,0.246944219,0.711709738,71.17
Norway,Western Europe,7.49,0.034837384,7.55628109,7.419718742,11.09,0.952,73.201,0.955750287,0.13453263,0.263218194,26.32
Netherlands,Western Europe,7.45,0.02779175,7.503372192,7.394428253,10.81,0.939,72.301,0.908547819,0.20761244,0.364717126,36.47
Sweden,Western Europe,7.35,0.036234196,7.424519062,7.282480717,10.76,0.926,72.601,0.939144194,0.111614622,0.250880182,25.09
New Zealand,North America and ANZ,7.3,0.039465468,7.376952648,7.222247601,10.50,0.949,73.203,0.936217487,0.191598073,0.22113885,22.11
Austria,Western Europe,7.29,0.033365164,7.359595776,7.228804111,10.74,0.928,73.003,0.899989486,0.085429221,0.499954879,50.00
Luxembourg,Western Europe,7.24,0.030851794,7.297969818,7.177030563,11.45,0.907,72.600,0.90563643,-0.004620588,0.367084295,36.71
Canada,North America and ANZ,7.23,0.04040546,7.311294556,7.152905464,10.69,0.927,73.602,0.933913231,0.124770768,0.390843362,39.08
Australia,North America and ANZ,7.22,0.041841116,7.30480814,7.140791416,10.72,0.945,73.605,0.915431738,0.19046016,0.41516912,41.52
United Kingdom,Western Europe,7.16,0.037161909,7.237337589,7.091662884,10.60,0.937,72.302,0.834743679,0.263732493,0.435915917,43.59
Israel,Middle East and North Africa,7.13,0.042515181,7.211929798,7.045270443,10.42,0.914,73.200,0.747580588,0.10259372,0.78085506,78.09
Costa Rica,Latin America and Caribbean,7.12,0.044816118,7.209239483,7.033560276,9.66,0.902,71.300,0.934738934,-0.10242971,0.786332428,78.63
Ireland,Western Europe,7.09,0.039863452,7.171832085,7.01556778,11.16,0.942,72.301,0.886982977,0.145784974,0.357184172,35.72
Germany,Western Europe,7.08,0.035609804,7.145595074,7.00600481,10.73,0.899,72.202,0.867371082,0.080179386,0.456422031,45.64
United States,North America and ANZ,6.94,0.047316168,7.032339573,6.846860409,10.93,0.914,68.299,0.842619538,0.149891734,0.699715316,69.97
Czech Republic,Central and Eastern Europe,6.91,0.042891297,6.994966984,6.826833248,10.40,0.914,70.048,0.818537354,-0.230861515,0.85844624,85.84
Belgium,Western Europe,6.86,0.034370355,6.930866241,6.796133995,10.67,0.912,72.002,0.813582063,-0.078691199,0.612297952,61.23
United Arab Emirates,Middle East and North Africa,6.79,0.040698379,6.870568752,6.711031437,11.11,0.849,67.083,0.941345513,0.123450845,0.594502211,59.45
Malta,Western Europe,6.77,0.042958103,6.856997967,6.688601971,10.53,0.930,72.200,0.924911439,0.214965805,0.658547282,65.85
France,Western Europe,6.66,0.037576791,6.737450123,6.590149403,10.58,0.937,73.802,0.825467646,-0.130641967,0.583521128,58.35
Mexico,Latin America and Caribbean,6.47,0.048122469,6.559319973,6.370680332,9.80,0.839,68.299,0.858709276,-0.175266623,0.806821585,80.68
Taiwan Province of China,East Asia,6.46,0.039139576,6.532113552,6.378686428,10.78,0.894,69.600,0.77153033,-0.073198698,0.73188293,73.19
Uruguay,Latin America and Caribbean,6.44,0.045419082,6.529121399,6.351078987,9.95,0.923,69.003,0.892395437,-0.101103112,0.635994136,63.60
Saudi Arabia,Middle East and North Africa,6.41,0.056533612,6.517305851,6.295693874,10.80,0.874,66.305,0.854191244,-0.168695062,0.682619512,68.26
Spain,Western Europe,6.4,0.04230037,6.483808517,6.317991257,10.46,0.921,74.403,0.751989543,-0.050961714,0.765859902,76.59
Guatemala,Latin America and Caribbean,6.4,0.058398303,6.5133605,6.284439564,8.92,0.817,64.809,0.908147573,-0.042938665,0.783237457,78.32
Italy,Western Europe,6.39,0.043288074,6.47224474,6.302555561,10.48,0.890,73.602,0.66465199,-0.043460999,0.873404682,87.34
Singapore,Southeast Asia,6.38,0.033258967,6.442287445,6.311912537,11.40,0.910,76.805,0.926645339,0.029879224,0.109784193,10.98
Brazil,Latin America and Caribbean,6.38,0.040790688,6.455549717,6.295650005,9.57,0.897,66.480,0.799804807,-0.101812392,0.770601273,77.06
Slovenia,Central and Eastern Europe,6.36,0.043841314,6.449328899,6.277471066,10.39,0.940,71.103,0.936142623,-0.080603383,0.817071021,81.71
El Salvador,Latin America and Caribbean,6.35,0.058248438,6.462466717,6.234133244,8.91,0.806,66.108,0.833805263,-0.121072978,0.754319906,75.43
Kosovo,Central and Eastern Europe,6.33,0.052216277,6.427544117,6.222856045,9.20,0.821,63.886,0.861535907,0.190933764,0.922328293,92.23
Panama,Latin America and Caribbean,6.3,0.059724931,6.421860695,6.187739372,10.03,0.902,69.603,0.880366504,-0.153927714,0.851588905,85.16
Slovakia,Central and Eastern Europe,6.28,0.03889757,6.35683918,6.204360962,10.35,0.922,68.906,0.749952674,-0.124409303,0.918096125,91.81
Uzbekistan,Commonwealth of Independent States,6.26,0.05422755,6.36388588,6.151313782,8.74,0.927,65.108,0.974998116,0.248427153,0.501497388,50.15
Chile,Latin America and Caribbean,6.23,0.045723889,6.318118572,6.138881207,10.03,0.880,69.901,0.744896293,-0.065668367,0.838239431,83.82
Bahrain,Middle East and North Africa,6.23,0.081882261,6.387789249,6.066811085,10.68,0.876,68.500,0.905855775,0.13372919,0.7393471,73.93
Lithuania,Central and Eastern Europe,6.22,0.044193108,6.302118301,6.128881454,10.34,0.926,67.294,0.747381449,-0.219725296,0.809583843,80.96
Trinidad and Tobago,Latin America and Caribbean,6.19,0.114448458,6.416218758,5.967580795,10.26,0.915,63.500,0.857907116,0.000526841,0.912230611,91.22
Poland,Central and Eastern Europe,6.19,0.035500165,6.255880356,6.116719246,10.27,0.874,69.311,0.862055779,-0.205084071,0.686927021,68.69
Colombia,Latin America and Caribbean,6.16,0.056480873,6.274102688,6.052697659,9.50,0.884,67.700,0.836179912,-0.161235645,0.86457181,86.46
Cyprus,Western Europe,6.16,0.050605938,6.258187771,6.059812069,10.41,0.806,73.702,0.779858291,0.043731496,0.856271744,85.63
Nicaragua,Latin America and Caribbean,6.14,0.063886963,6.262318611,6.011881828,8.49,0.857,67.507,0.863902867,0.020959141,0.665950119,66.60
Romania,Central and Eastern Europe,6.12,0.047432564,6.216668129,6.030732155,10.11,0.825,67.207,0.842823207,-0.19781521,0.934300244,93.43
Kuwait,Middle East and North Africa,6.1,0.053297732,6.206563473,5.997636318,11.09,0.846,66.768,0.872366488,-0.100184701,0.760849059,76.08
Mauritius,Sub-Saharan Africa,6.1,0.057226494,6.213463783,5.989135742,9.96,0.910,66.404,0.889534533,-0.018318573,0.805343091,80.53
Kazakhstan,Commonwealth of Independent States,6.06,0.043229785,6.1426301,5.973169804,10.11,0.935,64.610,0.811601937,-0.068488635,0.764490843,76.45
Estonia,Central and Eastern Europe,6.02,0.035985194,6.092330933,5.95126915,10.34,0.935,68.605,0.87770915,-0.111697771,0.623073816,62.31
Philippines,Southeast Asia,6.01,0.049858402,6.103722572,5.908277512,8.99,0.847,61.927,0.915463448,-0.105463006,0.733634114,73.36
Hungary,Central and Eastern Europe,6,0.039473221,6.077767372,5.923032761,10.25,0.922,67.610,0.718964577,-0.194323018,0.892916501,89.29
Thailand,Southeast Asia,6,0.042596295,6.082288742,5.91531086,9.74,0.890,67.251,0.905063033,0.268685192,0.886272311,88.63
Argentina,Latin America and Caribbean,5.97,0.053441759,6.079445839,5.869954109,9.81,0.901,68.804,0.831132412,-0.194913864,0.842009842,84.20
Honduras,Latin America and Caribbean,5.95,0.065731592,6.082033634,5.824366093,8.42,0.822,67.199,0.870603263,0.086969115,0.801131904,80.11
Latvia,Central and Eastern Europe,5.95,0.034838136,6.018282413,5.881717205,10.18,0.918,66.807,0.671237648,-0.186888844,0.795580089,79.56
Ecuador,Latin America and Caribbean,5.93,0.052880634,6.028846264,5.821553707,9.25,0.836,68.500,0.859828949,-0.127014965,0.801215112,80.12
Portugal,Western Europe,5.91,0.053158198,6.015089989,5.806710243,10.26,0.887,72.402,0.888747811,-0.220714301,0.892629504,89.26
Jamaica,Latin America and Caribbean,5.89,0.120590433,6.126157284,5.65344286,9.01,0.916,67.100,0.858068526,-0.125106767,0.888890028,88.89
South Korea,East Asia,5.87,0.044085015,5.958806515,5.785993099,10.51,0.799,73.603,0.612965107,-0.043404032,0.789067447,78.91
Japan,East Asia,5.87,0.041391667,5.951927662,5.789672375,10.58,0.884,75.001,0.809961379,-0.246910349,0.654558063,65.46
Peru,Latin America and Caribbean,5.8,0.061311204,5.916970253,5.67663002,9.46,0.831,68.100,0.824766099,-0.16238822,0.893714964,89.37
Serbia,Central and Eastern Europe,5.78,0.050712325,5.877596378,5.678803921,9.68,0.881,68.210,0.726495862,-0.073676221,0.843509018,84.35
Bolivia,Latin America and Caribbean,5.75,0.050645422,5.846765041,5.648234844,8.85,0.803,63.600,0.875873327,-0.09168113,0.822606206,82.26
Pakistan,South Asia,5.69,0.048216224,5.78780365,5.598795891,8.48,0.689,58.253,0.734833717,0.04489987,0.745705426,74.57
Paraguay,Latin America and Caribbean,5.69,0.051957864,5.793937683,5.590262413,9.39,0.899,65.640,0.885923445,0.007997713,0.834788501,83.48
Dominican Republic,Latin America and Caribbean,5.69,0.069831297,5.826069355,5.552330494,9.66,0.882,65.807,0.866202772,-0.131263286,0.755999923,75.60
Bosnia and Herzegovina,Central and Eastern Europe,5.67,0.046385963,5.765016556,5.583183289,9.46,0.829,67.808,0.651352704,0.098274559,0.933769107,93.38
Moldova,Commonwealth of Independent States,5.61,0.042275578,5.690360069,5.524640083,8.78,0.843,65.013,0.721609175,-0.037741039,0.913314283,91.33
